Denominator(s+s0),Fold Change,Gene ID,Gene Name,Numerator(r),Score(d),direction,gpl,gse,index,log2foldChange,myGeneId,myGeneSym,q-value(%),subset
0.171,0.817,GI_4580418-S,GI_4580418-S,-0.292,-1.707,down,GPL2700,GSE13052,,-0.292,866.0,SERPINA6,12.408,Acute
0.143,0.845,GI_7706711-S,GI_7706711-S,-0.244,-1.707,down,GPL2700,GSE13052,,-0.244,51547.0,SIRT7,12.408,Acute
0.256,0.739,GI_4503794-S,GI_4503794-S,-0.437,-1.707,down,GPL2700,GSE13052,,-0.437,2495.0,FTH1,12.408,Acute
0.264,0.732,GI_34577051-S,GI_34577051-S,-0.45,-1.706,down,GPL2700,GSE13052,,-0.45,2150.0,F2RL1,12.408,Acute
0.182,0.807,GI_39777607-A,GI_39777607-A,-0.31,-1.706,down,GPL2700,GSE13052,,-0.31,10509.0,SEMA4B,12.408,Acute
0.176,0.812,GI_42544204-I,GI_42544204-I,-0.3,-1.706,down,GPL2700,GSE13052,,-0.3,85480.0,TSLP,12.408,Acute
0.15,0.837,GI_38455419-S,GI_38455419-S,-0.256,-1.704,down,GPL2700,GSE13052,,-0.256,11123.0,RCAN3,12.408,Acute
0.189,0.8,GI_34222158-S,GI_34222158-S,-0.323,-1.704,down,GPL2700,GSE13052,,-0.323,55262.0,C7orf43,12.408,Acute
0.224,0.767,GI_19924160-A,GI_19924160-A,-0.382,-1.704,down,GPL2700,GSE13052,,-0.382,,,12.408,Acute
0.24,0.753,GI_31377606-S,GI_31377606-S,-0.409,-1.703,down,GPL2700,GSE13052,,-0.409,56947.0,MFF,12.408,Acute
0.129,0.859,GI_24475971-S,GI_24475971-S,-0.219,-1.703,down,GPL2700,GSE13052,,-0.219,51249.0,TMEM69,12.408,Acute
0.126,0.862,GI_37546177-S,GI_37546177-S,-0.214,-1.703,down,GPL2700,GSE13052,,-0.214,,,12.408,Acute
0.129,0.858,GI_22547217-I,GI_22547217-I,-0.22,-1.702,down,GPL2700,GSE13052,,-0.22,,,12.408,Acute
0.157,0.831,GI_19924116-I,GI_19924116-I,-0.268,-1.701,down,GPL2700,GSE13052,,-0.268,5890.0,RAD51B,12.408,Acute
0.274,0.724,GI_8922499-S,GI_8922499-S,-0.467,-1.701,down,GPL2700,GSE13052,,-0.467,55164.0,SHQ1,12.408,Acute
0.592,0.498,GI_14456712-S,GI_14456712-S,-1.006,-1.7,down,GPL2700,GSE13052,,-1.006,3049.0,HBQ1,12.408,Acute
0.16,0.828,GI_31341111-S,GI_31341111-S,-0.272,-1.699,down,GPL2700,GSE13052,,-0.272,206338.0,AQPEP,12.408,Acute
0.187,0.803,GI_20589960-S,GI_20589960-S,-0.317,-1.699,down,GPL2700,GSE13052,,-0.317,84142.0,FAM175A,12.408,Acute
0.183,0.806,GI_42659655-S,GI_42659655-S,-0.311,-1.699,down,GPL2700,GSE13052,,-0.311,,,12.408,Acute
0.184,0.805,GI_22325391-S,GI_22325391-S,-0.312,-1.698,down,GPL2700,GSE13052,,-0.312,91151.0,TIGD7,12.408,Acute
0.293,0.708,GI_38679893-A,GI_38679893-A,-0.498,-1.698,down,GPL2700,GSE13052,,-0.498,5870.0,RAB6A,12.408,Acute
0.189,0.801,GI_18426972-S,GI_18426972-S,-0.321,-1.698,down,GPL2700,GSE13052,,-0.321,10589.0,DRAP1,12.408,Acute
0.215,0.777,GI_40254920-S,GI_40254920-S,-0.365,-1.697,down,GPL2700,GSE13052,,-0.365,55314.0,TMEM144,12.408,Acute
0.213,0.779,GI_40255134-S,GI_40255134-S,-0.361,-1.697,down,GPL2700,GSE13052,,-0.361,253943.0,YTHDF3,12.408,Acute
0.165,0.824,GI_31341428-S,GI_31341428-S,-0.28,-1.697,down,GPL2700,GSE13052,,-0.28,221496.0,LEMD2,12.408,Acute
0.177,0.812,GI_34335245-A,GI_34335245-A,-0.301,-1.697,down,GPL2700,GSE13052,,-0.301,23636.0,NUP62,12.408,Acute
0.279,0.721,GI_41202045-S,GI_41202045-S,-0.473,-1.696,down,GPL2700,GSE13052,,-0.473,,,12.408,Acute
0.184,0.805,GI_4758605-S,GI_4758605-S,-0.313,-1.696,down,GPL2700,GSE13052,,-0.313,3611.0,ILK,12.408,Acute
0.143,0.845,GI_15718683-S,GI_15718683-S,-0.243,-1.695,down,GPL2700,GSE13052,,-0.243,29946.0,SERTAD3,15.905,Acute
0.337,0.673,GI_34147537-S,GI_34147537-S,-0.571,-1.695,down,GPL2700,GSE13052,,-0.571,113675.0,SDSL,15.905,Acute
0.247,0.748,GI_22748838-S,GI_22748838-S,-0.419,-1.695,down,GPL2700,GSE13052,,-0.419,130872.0,AHSA2,15.905,Acute
0.255,0.741,GI_14591930-S,GI_14591930-S,-0.432,-1.695,down,GPL2700,GSE13052,,-0.432,83548.0,COG3,15.905,Acute
0.211,0.781,GI_29826337-S,GI_29826337-S,-0.357,-1.694,down,GPL2700,GSE13052,,-0.357,10437.0,IFI30,15.905,Acute
0.27,0.729,GI_24430145-S,GI_24430145-S,-0.457,-1.693,down,GPL2700,GSE13052,,-0.457,9972.0,NUP153,15.905,Acute
0.197,0.794,GI_13929473-S,GI_13929473-S,-0.334,-1.693,down,GPL2700,GSE13052,,-0.334,9027.0,NAT8,15.905,Acute
0.234,0.76,GI_23200030-A,GI_23200030-A,-0.396,-1.693,down,GPL2700,GSE13052,,-0.396,8718.0,TNFRSF25,15.905,Acute
0.235,0.759,GI_31543087-S,GI_31543087-S,-0.398,-1.692,down,GPL2700,GSE13052,,-0.398,57146.0,TMEM159,15.905,Acute
0.252,0.744,GI_41327766-S,GI_41327766-S,-0.426,-1.692,down,GPL2700,GSE13052,,-0.426,379.0,ARL4D,15.905,Acute
